full_address,estimate_date,estimate_value,estimate_range,link
"54 Cortina Avenue, Johnsonville, Wellington",1/01/1970,$1.08M,$1M - $1.15M,https://www.homes.co.nz/address/wellington/johnsonville/54-cortina-avenue/kkj7j
"16 Tolhurst Street, Johnsonville, Wellington",13/12/2002,$1.25M,$1.16M - $1.33M,https://www.homes.co.nz/address/wellington/johnsonville/16-tolhurst-street/0rJNB
"113 John Sims Drive, Johnsonville, Wellington",9/06/2004,$1.2M,$1.11M - $1.28M,https://www.homes.co.nz/address/wellington/johnsonville/113-john-sims-drive/DLog1
"126 Moorefield Road, Johnsonville, Wellington",2/05/2012,$1.14M,$1.06M - $1.22M,https://www.homes.co.nz/address/wellington/johnsonville/126-moorefield-road/15rM1
"16A Bannister Avenue, Johnsonville, Wellington",28/02/2013,$1.04M,$970K - $1.12M,https://www.homes.co.nz/address/wellington/johnsonville/16a-bannister-avenue/Pa10r
"86B Woodland Road, Johnsonville, Wellington",18/05/2018,$50K,$46K - $55K,https://www.homes.co.nz/address/wellington/johnsonville/86b-woodland-road/ROrRP
"37 Clifford Road, Johnsonville, Wellington",5/06/2019,$955K,$890K - $1.02M,https://www.homes.co.nz/address/wellington/johnsonville/37-clifford-road/qkGJ1
"27 Hindmarsh Street, Johnsonville, Wellington",10/06/2016,$1.53M,$1.42M - $1.64M,https://www.homes.co.nz/address/wellington/johnsonville/27-hindmarsh-street/W4anK
"2 Kitchener Terrace, Johnsonville, Wellington",6/10/1997,$975K,$905K - $1.04M,https://www.homes.co.nz/address/wellington/johnsonville/2-kitchener-terrace/qkpl1
"8A Elliott Street, Johnsonville, Wellington",10/09/2014,$880K,$820K - $940K,https://www.homes.co.nz/address/wellington/johnsonville/8a-elliott-street/9YeVW
"20 Birch Street, Johnsonville, Wellington",25/05/2017,$915K,$850K - $980K,https://www.homes.co.nz/address/wellington/johnsonville/20-birch-street/x40Xb
"59 Fraser Avenue, Johnsonville, Wellington",1/01/1970,$1.06M,$985K - $1.13M,https://www.homes.co.nz/address/wellington/johnsonville/59-fraser-avenue/oybXB
